南部,中部,北部,東部,離島
0.0633586676634272,0.03340950291729507,0.06817339755464986,0.04838408529036113,0.0038434661076170514
0.2300232577456599,0.20508203464192676,0.2349635667531184,0.21755264619379333,0.0286512928022362
0.32388383586676633,0.4229529424310285,0.38946523403729777,0.3734183891488974,0.0562543675751223
0.5731393803472049,0.5762046219703548,0.5068543905150057,0.5746720011587798,0.0749475890985325
0.6671422045020352,0.6697347775086452,0.580585402000741,0.6684384910053403,0.08874912648497554
0.715981393803472,0.7221607787578265,0.6042978881067061,0.7190710862806493,0.2755066387141859
0.7166490156989782,0.7331779473820513,0.642336667901692,0.7249134815405147,0.330188679245283
0.6808393554281916,0.7039379674908215,0.5914536247993084,0.6923886614595065,0.13067784765897972
0.604294376609353,0.623748152887589,0.5648388291959986,0.6140212647484711,0.0836827393431167
0.4817582440402026,0.4940648660177018,0.4716561689514635,0.4879115550289522,0.06656184486373165
0.31523174682282584,0.3224228021266548,0.34765962702235403,0.31882727447474035,0.04210342417889588
0.1261971509261567,0.1259890620477431,0.21106582684945044,0.12609310648694988,0.013452131376659677
0.012658858709195114,0.006233718751428179,0.12776336914906755,0.009446288730311647,0.00017470300489168413
0.00018066284575130826,0.0,0.11782141533901445,9.033142287565413e-05,0.0
