,南部 (kgCO2e/kWh),中部 (kgCO2e/kWh),北部 (kgCO2e/kWh),東部 (kgCO2e/kWh),全台 (kgCO2e/kWh)
2024-07-13 12:00:00,0.25426777000369655,0.3614364100592364,0.47436446603508964,0.3329347170306677,0.36445736418199065
2024-07-13 13:00:00,0.26402151244657,0.37834977505394735,0.4802767065745536,0.34920080780227636,0.37545955205464376
2024-07-13 14:00:00,0.2805477541583155,0.39244352036928887,0.48535303715779343,0.3703099803173524,0.3900332438481253
2024-07-13 15:00:00,0.3047633334556923,0.4209507164239914,0.4932652125950903,0.39895475129341074,0.4114501821006551
2024-07-13 16:00:00,0.35061103921476633,0.47705968373816493,0.5024629758463492,0.442209681041344,0.44470649908371357
2024-07-13 17:00:00,0.43685061593623387,0.5465915376316001,0.5105288061709632,0.5051958809636047,0.49876348378658036
2024-07-13 18:00:00,0.4690751362842042,0.5508752279010213,0.5131734362179781,0.5133787372597673,0.5118248207793515
2024-07-13 19:00:00,0.4764922806469864,0.5427740130996277,0.5154757230279926,0.4847696956048159,0.5117166289173395
2024-07-13 20:00:00,0.4750188596575096,0.550408007557423,0.5165596786027367,0.48493626837747394,0.514107745666676
2024-07-13 21:00:00,0.4751091423944863,0.5569533378369678,0.5222169505801539,0.4895790212041992,0.5184057323198468
2024-07-13 22:00:00,0.4755110575206183,0.6002195351588344,0.5280211737562005,0.5208470892564169,0.5352442674190311
2024-07-13 23:00:00,0.4773533841871167,0.6253128045040005,0.5276957247550894,0.5360818049090291,0.5461414441392616
2024-07-14 00:00:00,0.4759409853337318,0.6326246467997033,0.5302579312263287,0.5562910421110185,0.5488331751149547
2024-07-14 01:00:00,0.46447818113998796,0.6502376033689713,0.5255888921651592,0.5595369187178048,0.5474775847268563
2024-07-14 02:00:00,0.45433070300557793,0.6706496623550113,0.5179113614601868,0.5655244761809135,0.549072153701928
2024-07-14 03:00:00,0.44781631596592525,0.6826997947374327,0.5072145851300652,0.5711050844899388,0.5500745358471322
2024-07-14 04:00:00,0.44448259314023403,0.6817554705718585,0.504626270267957,0.5699716385616364,0.5484704022191708
