,南部 (kgCO2e/kWh),北部 (kgCO2e/kWh),中部 (kgCO2e/kWh),東部 (kgCO2e/kWh),全台 (kgCO2e/kWh)
2021-04-04 17:00:00,0.48671610445302027,0.5073472958121739,0.6354773140778125,0.42187361485295843,0.5416696264447558
2021-04-04 18:00:00,0.48947854627247595,0.5132536530871195,0.5876434115522509,0.37970111419475294,0.5262710218736226
2021-04-04 19:00:00,0.49085072329301843,0.5141029796414398,0.6048194155108109,0.3541835708552669,0.5299463430550685
2021-04-04 20:00:00,0.49039157824129753,0.5140508007477109,0.6011176681232092,0.3491320532275043,0.5279514069523905
2021-04-04 21:00:00,0.489128490729984,0.5146171289770072,0.6045027576918245,0.3476774688795375,0.5288003033317694
2021-04-04 22:00:00,0.4846608864841972,0.51600619707051,0.6253291081456436,0.3891047375130031,0.5357442208756779
2021-04-04 23:00:00,0.4838640034033894,0.5198596772516839,0.6389374389279037,0.3841638067250443,0.5416188680928421
2021-04-05 00:00:00,0.48371362452015265,0.5159882106822908,0.6487765347941497,0.39777551225016966,0.5464660065921625
2021-04-05 01:00:00,0.4838872749471114,0.4878308155041602,0.6861595870121763,0.42804728590564195,0.559833274831596
2021-04-05 02:00:00,0.48358498266547306,0.468895185071387,0.7232323765646711,0.43946255806683715,0.5703188834426556
2021-04-05 03:00:00,0.4836572676792412,0.4777884539088832,0.7057162352326227,0.4301151042003537,0.5635674378348745
2021-04-05 04:00:00,0.4839737233707076,0.47457862200963025,0.7054309812479665,0.43021252712621383,0.5631517046523385
2021-04-05 05:00:00,0.48396327420233437,0.4749199593272139,0.704365627137075,0.43442388053271463,0.5627134970433285
2021-04-05 06:00:00,0.4845444867297343,0.4876905200016089,0.6939155830635625,0.4332949430484358,0.5592367719067719
2021-04-05 07:00:00,0.48468757636362786,0.49954101333793133,0.6552329022980573,0.42202760022289193,0.5449980303653214
2021-04-05 08:00:00,0.4851351994173113,0.5023339977920712,0.6651093235816832,0.44864826396270957,0.5492627853789234
2021-04-05 09:00:00,0.4851802831446236,0.503519044224033,0.6702336439428725,0.4843921279664185,0.5519807033640824
2021-04-05 10:00:00,0.48394216516942073,0.5196114541418443,0.6599077500275226,0.479803256137046,0.5495140838744024
2021-04-05 11:00:00,0.48669725490653926,0.5326592411968564,0.6423640970903831,0.47324005779074924,0.5465536860396353
2021-04-05 12:00:00,0.49525064637548455,0.5340080649341555,0.6301467462893281,0.46816272557119387,0.548971478456758
2021-04-05 13:00:00,0.4913512906765103,0.5176340325880301,0.6438577075398012,0.47143576726208963,0.5484974300121963
2021-04-05 14:00:00,0.48538593703564165,0.5153218482275328,0.6615392704925013,0.48017034630872046,0.5497734942918268
2021-04-05 15:00:00,0.4857139669819827,0.5207848480799914,0.6330485256714585,0.4608583558106023,0.5395481083331556
2021-04-05 16:00:00,0.48555135237736424,0.5154820520046707,0.5922753931924835,0.40870947589545326,0.5245547538897457
2021-04-05 17:00:00,0.4846551234546448,0.5154837434995757,0.5959550862315554,0.3962992704459004,0.5284936456918219
2021-04-05 18:00:00,0.48313147261890727,0.5149843220985421,0.5748820299437901,0.3886700806859982,0.5213068912698514
2021-04-05 19:00:00,0.4855613944827733,0.5144302043462456,0.5731184381595246,0.3875584438032606,0.5210866457353915
2021-04-05 20:00:00,0.48489041980563996,0.513959326072367,0.5676861938790728,0.3886403879315109,0.5197286252426102
2021-04-05 21:00:00,0.4833477168205686,0.5125951677771617,0.573648708531045,0.38796756058115145,0.5216831334161947
2021-04-05 22:00:00,0.4833969638901513,0.5174011181942655,0.5882469174104034,0.3944608487898209,0.5284726222729422
2021-04-05 23:00:00,0.4825934048832826,0.5178022698431134,0.6059594693187194,0.3976283091294784,0.5342009087014875
2021-04-06 00:00:00,0.4829143609495689,0.5031397227731473,0.6348463801690901,0.39857227124109756,0.5419221693357441
2021-04-06 01:00:00,0.48392591154512,0.46922849837388336,0.686840769542209,0.4218388021125715,0.5596352841711428
2021-04-06 02:00:00,0.4826548846717215,0.4440133787078336,0.6993620518835033,0.4292799646134517,0.5636628541896931
2021-04-06 03:00:00,0.4831610567351971,0.41647558974404214,0.6951966465832693,0.43066578692790297,0.5634522409071969
2021-04-06 04:00:00,0.4831497896420884,0.4174051382606072,0.7009607798467058,0.45948371027200313,0.567295171041421
2021-04-06 05:00:00,0.4832688972467322,0.4381488311106579,0.6974451215104225,0.4606768200055405,0.5663130381228955
2021-04-06 06:00:00,0.48366059573364034,0.4736094869047947,0.6888176015618119,0.4602893301164935,0.5649399027557369
2021-04-06 07:00:00,0.48437300265790717,0.47970489689929824,0.6941802366050399,0.47074456978170615,0.5691926230641655
2021-04-06 08:00:00,0.48389061119463855,0.5159681708292747,0.6576590429834083,0.48191421437174825,0.5579805008396139
2021-04-06 09:00:00,0.4862461010746576,0.5170723496506591,0.6187091547187326,0.46491738451278386,0.5465891777634119
2021-04-06 10:00:00,0.48898472941277077,0.5206661332294875,0.6276522309236205,0.4732729150278413,0.5516354751987051
2021-04-06 11:00:00,0.4889773277291464,0.5218841911740246,0.6117009534001322,0.4710993577542571,0.5463728641634985
2021-04-06 12:00:00,0.4886116980219459,0.5166866951807594,0.6506087616879869,0.5050011783506525,0.564219749713743
2021-04-06 13:00:00,0.48840734059397983,0.5251657148402702,0.6314539874576979,0.48470856308743365,0.556456192408978
2021-04-06 14:00:00,0.4855970740983311,0.5303363153920722,0.6180503536970616,0.4389170093796312,0.5496579844497516
2021-04-06 15:00:00,0.4851043303743665,0.5181862887284682,0.6158334588492755,0.4194928513854719,0.5426530292935197
2021-04-06 16:00:00,0.4884831490536644,0.5223640628290929,0.6186645068476974,0.4196662119860468,0.5426444575172827
2021-04-06 17:00:00,0.4901177110504774,0.523404924311624,0.5982191734768598,0.4054347223268736,0.5349732351078955
2021-04-06 18:00:00,0.4894489186204541,0.5130507722570327,0.556314140225584,0.3531170741818841,0.5157324868814329
2021-04-06 19:00:00,0.4883608827545103,0.49746276057171757,0.554996514555509,0.34479051699844115,0.511129957073808
2021-04-06 20:00:00,0.4851467502756925,0.4902065214951208,0.5695793335804599,0.3714937540711448,0.5153325402731124
2021-04-06 21:00:00,0.48615582488796205,0.49398956621693524,0.5704157699545589,0.3706027196469707,0.5168357178281785
2021-04-06 22:00:00,0.49074840845548545,0.5050999291037922,0.5883068599582844,0.3690131480431334,0.5264881271381572
2021-04-06 23:00:00,0.4898889920160119,0.5174747168048496,0.6075921115157213,0.37434069317038965,0.5357511933015162
2021-04-07 00:00:00,0.49405501008695285,0.5153691955942338,0.6257531199286053,0.4125585942429994,0.5430692324508284
2021-04-07 01:00:00,0.4945698764417596,0.5098096126376606,0.620063885942341,0.40555183456823646,0.5387232644258619
2021-04-07 02:00:00,0.4962093149544402,0.5222589247912327,0.6057083434464375,0.40931985277527716,0.5372476799932735
2021-04-07 03:00:00,0.4955309702224323,0.5223206795363219,0.5985513733075427,0.4062444081259819,0.5352838482415769
2021-04-07 04:00:00,0.4953087270192015,0.5032188081011345,0.6214298631377684,0.4171067889446687,0.5400932783615185
2021-04-07 05:00:00,0.49546747835204896,0.48430846868012256,0.6369240110251816,0.4313781761652929,0.5433003168292683
2021-04-07 06:00:00,0.4952952490985503,0.4912563267746623,0.6522081679040334,0.44274775439484887,0.5483255574770343
2021-04-07 07:00:00,0.4958637921838797,0.48892487433639337,0.6670574163149506,0.45467388402067643,0.5510253304690834
2021-04-07 08:00:00,0.49582952474836844,0.4768854837485004,0.6753910394068277,0.46365506159837533,0.5506667204056691
2021-04-07 09:00:00,0.4967550305267116,0.48595726367026826,0.673990579821926,0.47182769730564494,0.5542207451543532
