南部,北部,中部,東部,離島
0.03493013972055888,0.026306039273805114,0.04841034078271864,0.04167024025163876,0.012054507337526206
0.12132877102936983,0.11880943559342966,0.25233612114010634,0.1868324460847381,0.09940600978336829
0.21601241960523396,0.2200197604050883,0.47161464284082083,0.3438135312230274,0.2526205450733753
0.2854925070493933,0.29899962949240466,0.6361089529728987,0.46080073001114596,0.39046121593291405
0.32826410670722045,0.3487711498085711,0.7422573617902899,0.5352607342487552,0.46837875611460517
0.44805626841554974,0.37273064097814007,0.80179150861478,0.6249238885151649,0.5031446540880503
0.49136647340240164,0.37520069161417813,0.8133342473683408,0.6523503603853712,0.5036687631027253
0.47146975889490855,0.3490799061380758,0.7719939673689501,0.6217318631319293,0.4748427672955975
0.4062034660837056,0.30054341113992833,0.6710189966942401,0.5386112313889728,0.42033542976939203
0.30748027754015783,0.21483265406940844,0.5141416449583353,0.41081096124924654,0.3277428371767995
0.14751449481988407,0.11516611090527357,0.309179958259068,0.22834722653947603,0.19671558350803633
0.04725469695529576,0.03124614054588119,0.09514647410995843,0.07120058553262709,0.05922431865828092
0.0055286252891043304,0.0011115227862171177,0.0021038039090230487,0.0038162145990636893,0.002620545073375262
0.000190095998479232,0.0,4.5701750377039444e-05,0.00011789887442813572,0.0
