南部,北部,中部,東部,離島
0.0025662959794696323,0.0003705075954057058,0.0022393857684749325,0.0024028408739722824,0.019217330538085255
0.04858536894465038,0.04137334815363715,0.06176743902624804,0.05517640398544921,0.034241788958770086
0.15516585875867314,0.21785846609855503,0.2490090337126579,0.20208744623566552,0.1090146750524109
0.2650413458796692,0.41608002964060764,0.4121962737839526,0.3386188098318109,0.23427672955974843
0.38233057694135536,0.5287760899098431,0.5339899151470835,0.45816024604421945,0.32966457023060797
0.504784082628394,0.571631468445103,0.5949682372834879,0.549876159955941,0.39308176100628933
0.5375756423660615,0.6833395084599235,0.6086025928126381,0.5730891175893498,0.403214535290007
0.4851249881190002,0.6401136223292577,0.5733695900552991,0.5292472890871496,0.379979035639413
0.43429014985901215,0.42775101889588735,0.48072757186600246,0.4575088608625073,0.3205800139762404
0.29921110160631115,0.24521427689267628,0.31217646969212254,0.30569378564921684,0.21104122990915442
0.13441371225802365,0.06940842287266889,0.11313468305836114,0.12377419765819239,0.07861635220125786
0.02141748249532681,0.0029640607632456465,0.002332312660908246,0.011874897578117528,0.0296995108315863
0.012451287900389697,0.0,0.000705330347485642,0.006578309123937669,0.023060796645702306
0.012451287900389697,0.0,0.0007038069558064074,0.006577547428098052,0.023060796645702306
